State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
Alabama,339.06,1042,198.63999999999999,933,149.49000000000001,123,2014-01-01
Alaska,288.75,252,260.60000000000002,297,388.57999999999998,26,2014-01-01
Arizona,303.31,1941,209.34999999999999,1625,189.44999999999999,222,2014-01-01
Arkansas,361.85000000000002,576,185.62,544,125.87,112,2014-01-01
California,248.78,12096,193.56,12812,192.91999999999999,778,2014-01-01
Colorado,236.31,2161,195.28999999999999,1728,213.5,128,2014-01-01
Connecticut,347.89999999999998,1294,273.97000000000003,1316,257.36000000000001,91,2014-01-01
Delaware,373.18000000000001,347,226.25,273,199.88,34,2014-01-01
District of Columbia,352.25999999999999,433,295.67000000000002,349,213.72,39,2014-01-01
Florida,306.43000000000001,6506,220.03,5237,158.25999999999999,514,2014-01-01
Georgia,332.20999999999998,3099,213.52000000000001,2269,153.44999999999999,229,2014-01-01
Hawaii,310.95999999999998,328,270.38,350,160.46000000000001,25,2014-01-01
Idaho,276.05000000000001,315,254.96000000000001,445,132.61000000000001,20,2014-01-01
Illinois,359.74000000000001,4008,287.23000000000002,3644,181.25,329,2014-01-01
Indiana,336.80000000000001,1665,206.24000000000001,1446,154.05000000000001,248,2014-01-01
Iowa,371.69999999999999,697,292.33999999999997,649,252.24000000000001,103,2014-01-01
Kansas,353.50999999999999,838,260.97000000000003,628,124.27,109,2014-01-01
Kentucky,337.32999999999998,1013,183.16999999999999,986,120.31,132,2014-01-01
Louisiana,377.70999999999998,1071,243.25999999999999,864,153.72999999999999,224,2014-01-01
Maine,321.10000000000002,450,259.18000000000001,425,214.80000000000001,52,2014-01-01
Montana,279.73000000000002,585,257.98000000000002,258,734.64999999999998,22,2014-01-01
Nebraska,352.63999999999999,508,247.03,510,142.99000000000001,62,2014-01-01
Nevada,269.61000000000001,899,218.66999999999999,928,231.08000000000001,61,2014-01-01
New Hampshire,366.47000000000003,422,289.81,441,561.04999999999995,38,2014-01-01
New Jersey,354.91000000000003,2244,294.38999999999999,2799,225.62,185,2014-01-01
New Mexico,293.86000000000001,565,216.55000000000001,434,63.700000000000003,42,2014-01-01
New York,351.98000000000002,5800,268.88,5824,190.38,482,2014-01-01
North Carolina,355.88,2775,247.25999999999999,1911,152.09,226,2014-01-01
North Dakota,412.83999999999997,137,361.94999999999999,200,269.55000000000001,13,2014-01-01
Ohio,336.63,3050,212.44,2817,168.87,399,2014-01-01
Oklahoma,364.56999999999999,754,228.12,664,121.59999999999999,131,2014-01-01
Oregon,213.49000000000001,1612,188.55000000000001,1336,175.87,61,2014-01-01
Maryland,380.02999999999997,1963,248.71000000000001,1546,196.59,152,2014-01-01
Massachusetts,354.83999999999997,2878,297.27999999999997,2467,217.88999999999999,219,2014-01-01
Michigan,299.36000000000001,3048,277.63,2529,227.47999999999999,230,2014-01-01
Minnesota,371.18000000000001,1712,280.56999999999999,1532,183.28999999999999,101,2014-01-01
Mississippi,340.27999999999997,410,150.02000000000001,350,137.28999999999999,95,2014-01-01
Missouri,371.56999999999999,1559,241.63,1287,153.47999999999999,204,2014-01-01
Pennsylvania,372.68000000000001,3829,266.44,3205,194.12,364,2014-01-01
Rhode Island,335.29000000000002,529,262.06999999999999,360,207.93000000000001,33,2014-01-01
South Carolina,349.42000000000002,1153,201.99000000000001,902,176.93000000000001,119,2014-01-01
South Dakota,387.80000000000001,161,362.69999999999999,167,125.68000000000001,20,2014-01-01
Tennessee,359.75,1546,223.62,1220,200.59,147,2014-01-01
Texas,343.32999999999998,5985,235.87,5631,141.96000000000001,850,2014-01-01
Utah,291.54000000000002,684,233.11000000000001,664,169.84,42,2014-01-01
Vermont,379.88,277,323.31,224,187.06,24,2014-01-01
Virginia,374.00999999999999,2472,288.44,1959,223.02000000000001,202,2014-01-01
Washington,236.03,2351,192.06,2345,148.33000000000001,108,2014-01-01
West Virginia,360.80000000000001,350,197.75,367,158.25,40,2014-01-01
Wisconsin,357.99000000000001,1623,267.94999999999999,1368,229.91,125,2014-01-01
Wyoming,355.89999999999998,93,378.94999999999999,134,161.30000000000001,11,2014-01-01
Alabama,338.80000000000001,1095,200.02000000000001,984,152.02000000000001,129,2014-02-01
Alaska,288.81,265,254.5,313,388.57999999999998,26,2014-02-01
Arizona,303.17000000000002,2020,210.19,1705,195.31999999999999,229,2014-02-01
Arkansas,359.41000000000003,602,183.16,574,128.15000000000001,119,2014-02-01
California,248.19999999999999,12571,192.80000000000001,13406,191.94,804,2014-02-01
Colorado,237.47999999999999,2309,198.12,1898,223.47,138,2014-02-01
Connecticut,346.91000000000003,1346,273.87,1385,252.88,94,2014-02-01
Delaware,373.91000000000003,363,227.38,285,199.88,34,2014-02-01
District of Columbia,349.35000000000002,462,292.22000000000003,371,211.38,40,2014-02-01
Florida,305.93000000000001,6829,219.78,5522,156.94,532,2014-02-01
Georgia,332.05000000000001,3237,214.18000000000001,2376,154.46000000000001,234,2014-02-01
Hawaii,307.75999999999999,338,272.99000000000001,370,162.11000000000001,26,2014-02-01
Idaho,275.30000000000001,327,257.48000000000002,465,133.75,22,2014-02-01
Illinois,356.88999999999999,4192,287.69,3815,176.36000000000001,353,2014-02-01
Indiana,335.58999999999997,1748,208.28,1527,161.44,255,2014-02-01
Iowa,369.76999999999998,725,292.44999999999999,684,251.78,105,2014-02-01
Kansas,354.95999999999998,862,261.31,669,113.7,111,2014-02-01
Kentucky,338.83999999999997,1059,181.5,1031,125.11,138,2014-02-01
Louisiana,374.19999999999999,1137,242.75,910,149.56,239,2014-02-01
Maine,319.11000000000001,471,259.83999999999997,453,214.80000000000001,52,2014-02-01
Montana,271.16000000000003,601,251.43000000000001,272,734.64999999999998,22,2014-02-01
Nebraska,349.72000000000003,535,248.44,531,142.50999999999999,63,2014-02-01
Nevada,270.12,937,219.36000000000001,972,252.49000000000001,63,2014-02-01
