State|HighQ|HighQN|date
---|---|---|---|
Alabama|339.06|1042|2014-01-01
Alaska|288.75|252|2014-01-01
Arizona|303.31|1941|2014-01-01
Arkansas|361.85000000000002|576|2014-01-01
California|248.78|12096|2014-01-01
Colorado|236.31|2161|2014-01-01
Connecticut|347.89999999999998|1294|2014-01-01
Delaware|373.18000000000001|347|2014-01-01
District of Columbia|352.25999999999999|433|2014-01-01
Florida|306.43000000000001|6506|2014-01-01
Georgia|332.20999999999998|3099|2014-01-01
Hawaii|310.95999999999998|328|2014-01-01
Idaho|276.05000000000001|315|2014-01-01
Illinois|359.74000000000001|4008|2014-01-01
Indiana|336.80000000000001|1665|2014-01-01
Iowa|371.69999999999999|697|2014-01-01
Kansas|353.50999999999999|838|2014-01-01
Kentucky|337.32999999999998|1013|2014-01-01
Louisiana|377.70999999999998|1071|2014-01-01
Maine|321.10000000000002|450|2014-01-01
Montana|279.73000000000002|585|2014-01-01
Nebraska|352.63999999999999|508|2014-01-01
Nevada|269.61000000000001|899|2014-01-01
New Hampshire|366.47000000000003|422|2014-01-01
New Jersey|354.91000000000003|2244|2014-01-01
New Mexico|293.86000000000001|565|2014-01-01
New York|351.98000000000002|5800|2014-01-01
North Carolina|355.88|2775|2014-01-01
North Dakota|412.83999999999997|137|2014-01-01
Ohio|336.63|3050|2014-01-01
Oklahoma|364.56999999999999|754|2014-01-01
Oregon|213.49000000000001|1612|2014-01-01
Maryland|380.02999999999997|1963|2014-01-01
Massachusetts|354.83999999999997|2878|2014-01-01
Michigan|299.36000000000001|3048|2014-01-01
Minnesota|371.18000000000001|1712|2014-01-01
Mississippi|340.27999999999997|410|2014-01-01
Missouri|371.56999999999999|1559|2014-01-01
Pennsylvania|372.68000000000001|3829|2014-01-01
Rhode Island|335.29000000000002|529|2014-01-01
South Carolina|349.42000000000002|1153|2014-01-01
South Dakota|387.80000000000001|161|2014-01-01
Tennessee|359.75|1546|2014-01-01
Texas|343.32999999999998|5985|2014-01-01
Utah|291.54000000000002|684|2014-01-01
Vermont|379.88|277|2014-01-01
Virginia|374.00999999999999|2472|2014-01-01
Washington|236.03|2351|2014-01-01
West Virginia|360.80000000000001|350|2014-01-01
Wisconsin|357.99000000000001|1623|2014-01-01
Wyoming|355.89999999999998|93|2014-01-01
Alabama|338.80000000000001|1095|2014-02-01
Alaska|288.81|265|2014-02-01
Arizona|303.17000000000002|2020|2014-02-01
Arkansas|359.41000000000003|602|2014-02-01
California|248.19999999999999|12571|2014-02-01
Colorado|237.47999999999999|2309|2014-02-01
Connecticut|346.91000000000003|1346|2014-02-01
Delaware|373.91000000000003|363|2014-02-01
District of Columbia|349.35000000000002|462|2014-02-01
Florida|305.93000000000001|6829|2014-02-01
Georgia|332.05000000000001|3237|2014-02-01
Hawaii|307.75999999999999|338|2014-02-01
Idaho|275.30000000000001|327|2014-02-01
Illinois|356.88999999999999|4192|2014-02-01
Indiana|335.58999999999997|1748|2014-02-01
Iowa|369.76999999999998|725|2014-02-01
Kansas|354.95999999999998|862|2014-02-01
Kentucky|338.83999999999997|1059|2014-02-01
Louisiana|374.19999999999999|1137|2014-02-01
Maine|319.11000000000001|471|2014-02-01
Montana|271.16000000000003|601|2014-02-01
Nebraska|349.72000000000003|535|2014-02-01
Nevada|270.12|937|2014-02-01
New Hampshire|376.92000000000002|449|2014-02-01
New Jersey|354.73000000000002|2322|2014-02-01
New Mexico|293.37|588|2014-02-01
New York|352.35000000000002|6051|2014-02-01
North Carolina|355.37|2921|2014-02-01
North Dakota|409.27999999999997|143|2014-02-01
Ohio|336.64999999999998|3182|2014-02-01
Oklahoma|364.38999999999999|791|2014-02-01
Oregon|212.44|1677|2014-02-01
Maryland|379.62|2063|2014-02-01
Massachusetts|352.83999999999997|2996|2014-02-01
Michigan|298.18000000000001|3162|2014-02-01
Minnesota|370.39999999999998|1787|2014-02-01
Mississippi|338.86000000000001|430|2014-02-01
Missouri|367.31|1635|2014-02-01
Pennsylvania|371.47000000000003|4025|2014-02-01
Rhode Island|333.51999999999998|548|2014-02-01
South Carolina|346.43000000000001|1209|2014-02-01
South Dakota|389.89999999999998|170|2014-02-01
Tennessee|358.19|1627|2014-02-01
Texas|342.06999999999999|6250|2014-02-01
Utah|293.06|712|2014-02-01
Vermont|377.22000000000003|289|2014-02-01
Virginia|373.81|2585|2014-02-01
Washington|235.43000000000001|2433|2014-02-01
West Virginia|364.27999999999997|379|2014-02-01
Wisconsin|357.72000000000003|1698|2014-02-01
Wyoming|354.02999999999997|94|2014-02-01
Alabama|340.13999999999999|1140|2014-03-01
Alaska|286.77999999999997|281|2014-03-01
Arizona|303.05000000000001|2093|2014-03-01
Arkansas|357.73000000000002|630|2014-03-01
California|247.59999999999999|12988|2014-03-01
Colorado|237.65000000000001|2398|2014-03-01
Connecticut|347.00999999999999|1389|2014-03-01
Delaware|371.68000000000001|376|2014-03-01
District of Columbia|350.61000000000001|479|2014-03-01
Florida|305.18000000000001|7138|2014-03-01
Georgia|330.86000000000001|3368|2014-03-01
Hawaii|307.95999999999998|353|2014-03-01
Idaho|275.60000000000002|335|2014-03-01
Illinois|358.11000000000001|4357|2014-03-01
Indiana|334.50999999999999|1827|2014-03-01
Iowa|370.98000000000002|751|2014-03-01
Kansas|352.31999999999999|898|2014-03-01
Kentucky|337.49000000000001|1104|2014-03-01
Louisiana|373.08999999999997|1170|2014-03-01
Maine|319.72000000000003|481|2014-03-01
Montana|269.87|614|2014-03-01
Nebraska|347.81|554|2014-03-01
Nevada|268.50999999999999|961|2014-03-01
New Hampshire|370.08999999999997|463|2014-03-01
New Jersey|353.33999999999997|2393|2014-03-01
New Mexico|291.14999999999998|612|2014-03-01
New York|351.18000000000001|6209|2014-03-01
North Carolina|354.51999999999998|3039|2014-03-01
North Dakota|401.47000000000003|156|2014-03-01
Ohio|336.13|3306|2014-03-01
Oklahoma|365.31999999999999|821|2014-03-01
Oregon|212.00999999999999|1731|2014-03-01
Maryland|379.56|2147|2014-03-01
Massachusetts|352.17000000000002|3094|2014-03-01
Michigan|297.45999999999998|3241|2014-03-01
Minnesota|368.88|1845|2014-03-01
Mississippi|339.99000000000001|451|2014-03-01
Missouri|367.25|1707|2014-03-01
Pennsylvania|370.51999999999998|4210|2014-03-01
Rhode Island|332.54000000000002|570|2014-03-01
South Carolina|345.87|1267|2014-03-01
South Dakota|387.88999999999999|177|2014-03-01
Tennessee|356.50999999999999|1689|2014-03-01
Texas|341.56999999999999|6499|2014-03-01
Utah|292.86000000000001|736|2014-03-01
Vermont|376.95999999999998|293|2014-03-01
Virginia|372.81|2662|2014-03-01
Washington|234.91|2519|2014-03-01
West Virginia|362.31999999999999|403|2014-03-01
Wisconsin|357.13999999999999|1755|2014-03-01
Wyoming|352.41000000000003|97|2014-03-01
Alabama|340.69999999999999|1206|2014-04-01
Alaska|287.58999999999997|286|2014-04-01
Arizona|302.51999999999998|2148|2014-04-01
Arkansas|352.22000000000003|659|2014-04-01
California|246.75999999999999|13396|2014-04-01
Colorado|237.53|2511|2014-04-01
Connecticut|346.14999999999998|1438|2014-04-01
Delaware|372.35000000000002|388|2014-04-01
District of Columbia|346.58999999999997|492|2014-04-01
Florida|304.77999999999997|7451|2014-04-01
Georgia|329.31999999999999|3503|2014-04-01
Hawaii|314.67000000000002|365|2014-04-01
Idaho|275.25999999999999|348|2014-04-01
Illinois|357.42000000000002|4508|2014-04-01
Indiana|334.81|1883|2014-04-01
Iowa|370.67000000000002|767|2014-04-01
Kansas|351.51999999999998|937|2014-04-01
Kentucky|340.74000000000001|1155|2014-04-01
Louisiana|370.00999999999999|1208|2014-04-01
Maine|319.57999999999998|502|2014-04-01
Montana|268.75|629|2014-04-01
Nebraska|345.00999999999999|574|2014-04-01
Nevada|267.81999999999999|996|2014-04-01
New Hampshire|361.01999999999998|478|2014-04-01
New Jersey|352.68000000000001|2469|2014-04-01
New Mexico|291.31|629|2014-04-01
New York|350.08999999999997|6385|2014-04-01
North Carolina|353.87|3178|2014-04-01
North Dakota|401.73000000000002|163|2014-04-01
Ohio|335.89999999999998|3413|2014-04-01
Oklahoma|364.76999999999998|851|2014-04-01
Oregon|210.81|1783|2014-04-01
Maryland|376.52999999999997|2229|2014-04-01
Massachusetts|350.19|3198|2014-04-01
Michigan|295.31999999999999|3337|2014-04-01
Minnesota|367.91000000000003|1919|2014-04-01
Mississippi|343.54000000000002|471|2014-04-01
Missouri|368.12|1777|2014-04-01
Pennsylvania|369.10000000000002|4376|2014-04-01
Rhode Island|331.57999999999998|581|2014-04-01
South Carolina|345.06|1312|2014-04-01
South Dakota|388.48000000000002|178|2014-04-01
Tennessee|356.57999999999998|1757|2014-04-01
Texas|340.29000000000002|6726|2014-04-01
Utah|291.25999999999999|763|2014-04-01
Vermont|376.97000000000003|301|2014-04-01
Virginia|371.61000000000001|2751|2014-04-01
Washington|234.15000000000001|2617|2014-04-01
West Virginia|359.56|427|2014-04-01
Wisconsin|356.18000000000001|1804|2014-04-01
Wyoming|354.72000000000003|103|2014-04-01
Alabama|340.63|1255|2014-05-01
Alaska|287.94|294|2014-05-01
Arizona|301.25999999999999|2216|2014-05-01
Arkansas|352.06999999999999|684|2014-05-01
California|246.03999999999999|13787|2014-05-01
Colorado|236.66999999999999|2594|2014-05-01
Connecticut|344.76999999999998|1470|2014-05-01
Delaware|369.19999999999999|404|2014-05-01
District of Columbia|347.06|507|2014-05-01
Florida|304.38|7727|2014-05-01
Georgia|329.01999999999998|3622|2014-05-01
Hawaii|314.52999999999997|377|2014-05-01
Idaho|276.49000000000001|357|2014-05-01
Illinois|356.64999999999998|4640|2014-05-01
Indiana|334.97000000000003|1945|2014-05-01
Iowa|368.87|795|2014-05-01
Kansas|350.31|962|2014-05-01
Kentucky|339.08999999999997|1194|2014-05-01
Louisiana|370.67000000000002|1244|2014-05-01
Maine|317.35000000000002|517|2014-05-01
Montana|268.22000000000003|639|2014-05-01
Nebraska|344.10000000000002|591|2014-05-01
Nevada|268.25999999999999|1029|2014-05-01
New Hampshire|359.58999999999997|488|2014-05-01
New Jersey|351.63999999999999|2538|2014-05-01
New Mexico|290.88|641|2014-05-01
New York|349|6544|2014-05-01
North Carolina|352.38|3284|2014-05-01
North Dakota|391.23000000000002|169|2014-05-01
Ohio|336.14999999999998|3516|2014-05-01
Oklahoma|366.06|870|2014-05-01
Oregon|210.12|1816|2014-05-01
Maryland|374.62|2296|2014-05-01
Massachusetts|350.75999999999999|3294|2014-05-01
Michigan|295.19999999999999|3400|2014-05-01
Minnesota|367.61000000000001|1980|2014-05-01
Mississippi|341.5|487|2014-05-01
Missouri|368.41000000000003|1823|2014-05-01
Pennsylvania|368.32999999999998|4489|2014-05-01
Rhode Island|329.98000000000002|592|2014-05-01
South Carolina|343.27999999999997|1355|2014-05-01
South Dakota|387.60000000000002|179|2014-05-01
Tennessee|355.45999999999998|1820|2014-05-01
Texas|339.48000000000002|6901|2014-05-01
Utah|290.18000000000001|789|2014-05-01
Vermont|376.44|314|2014-05-01
Virginia|370.43000000000001|2838|2014-05-01
Washington|233.36000000000001|2675|2014-05-01
West Virginia|354.77999999999997|443|2014-05-01
Wisconsin|355.12|1852|2014-05-01
Wyoming|349.94999999999999|107|2014-05-01
Alabama|340.51999999999998|1301|2014-06-01
Alaska|286.08999999999997|307|2014-06-01
Arizona|302.29000000000002|2271|2014-06-01
Arkansas|350.20999999999998|701|2014-06-01
