"dep","dest","sYear","smonth","sdate","class"
"HND","NGO","2015","05","06","Y"
"OKA","NGO","20l5","o4","A5","Y"
"OKA","NGO","2015","04","25","S"
"3GO","OKA","S015","0F","25","Y"
"NGO","OKA","2015","04","19","Y"
"OKa","NGO","2015","05","17","Y"
"OKA","NGO","2015","05","17","Y"
"OKA","NGO","2015","05","17","Y"
"OKA","NGO","2015","04","18","Y"
"HND","NGO","2015","08","15","Y"
"HND","NGO","2015","08","15","Y"
"NGO","HND","2015","08","15","Y"
"NGO","HND","2015","08","15","Y"
"SDJ","NGO","2015","08","30","Y"
"NGO","SDJ","2015","08","28","Y"
"HND","OKA","2015","08","20","Y"
"HND","OKA","2015","08","20","Y"
"SDJ","NGO","2015","04","10","Y"
"SDJ","NGO","2015","04","10","Y"
"SDJ","NGO","2015","12","06","Y"
"NGO","SDJ","2015","12","05","Y"
"NGO","SDJ","2015","12","06","Y"
"NGO","SPK","2015","12","05","Y"
"SPK","NGO","2015","12","05","Y"
"SPK","NGO","2015","12","06","Y"
"HND","OKA","2015","08","19","Y"
"HND","OKA","2015","08","19","Y"
"OKA","NGO","2015","08","21","Y"
"OKA","NGO","2015","08","21","Y"
"SDJ","NGO","2015","09","27","Y"
"SDJ","NGO","2015","09","27","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2016","01","01","Y"
"SPK","NGO","2016","01","01","Y"
"NGO","SPK","2016","01","01","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","12","31","Y"
"NGO","SPK","2015","09","25","Y"
"NGO","SPK","2015","09","26","Y"
"SPK","NGO","2015","09","26","Y"
"NGO","SPK","2015","09","26","Y"
"NGO","SPK","2015","09","25","Y"
"NGO","SDJ","2015","09","25","Y"
"NGO","SDJ","2015","09","25","Y"
"NGO","SDJ","2015","09","26","Y"
"HND","ISG","2015","08","19","Y"
"HND","ISG","2015","08","19","Y"
"ISG","OKA","2015","08","19","Y"
"HND","OKA","2015","08","19","Y"
"HND","OKA","2015","08","19","Y"
"OKA","NGO","2015","08","21","Y"
"OKA","NGO","2015","08","21","Y"
"HND","ISG","2015","08","18","Y"
"HND","ISG","2015","08","18","Y"
"HND","ISG","2015","08","19","Y"
"HND","ISG","2015","08","20","Y"
"ISG","HND","2015","08","20","Y"
"NGO","SDJ","2015","09","26","Y"
"NGO","SDJ","2015","09","25","Y"
"ISG","HND","2015","08","21","Y"
"HND","ISG","2015","08","21","Y"
"HND","ISG","2015","08","22","Y"
"ISG","HND","2015","08","21","Y"
"ISG","NGO","2015","08","21","Y"
"ISG","NGO","2015","08","20","Y"
"ISG","NGO","2015","08","19","Y"
"ISG","NGO","2015","08","19","Y"
"NGO","ISG","2015","10","31","Y"
"NGO","OKA","2015","10","31","Y"
"NGO","OKA","2015","11","01","Y"
"OKA","NGO","2015","11","01","Y"
"NGO","OKA","2015","10","31","Y"
"NGO","SDJ","2015","08","28","Y"
"NGO","SDJ","2015","08","28","Y"
"SDJ","NGO","2015","08","28","Y"
"SDJ","NGO","2015","08","29","Y"
"SDJ","NGO","2015","08","30","Y"
"SDJ","NGO","2015","08","30","Y"
"SDJ","NGO","2015","08","29","Y"
"SDJ","NGO","2015","08","28","Y"
"NGO","SDJ","2015","08","28","Y"
"NGO","SDJ","2015","08","29","Y"
"NGO","SDJ","2015","08","28","Y"
"NGO","SDJ","2015","08","28","Y"
"NGO","SDJ","2015","09","26","Y"
"SDJ","NGO","2015","09","26","Y"
"SDJ","NGO","2015","09","26","Y"
"NGO","SDJ","2015","09","26","Y"
"NGO","SDJ","2015","09","26","Y"
"NGO","SDJ","2015","09","26","Y"
"NGO","SDJ","2015","09","26","Y"
"NGO","SDJ","2015","09","26","Y"
"NGO","SDJ","2015","08","28","Y"
"NGO","SDJ","2015","08","29","Y"
"NGO","SDJ","2015","08","30","Y"
"SDJ","NGO","2015","08","30","Y"
"SDJ","NGO","2015","08","30","Y"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","Y"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"NGO","SPK","2016","02","07","S"
"NGO","SPK","2016","02","07","S"
"NGO","SPK","2016","02","07","S"
"NGO","SPK","2016","02","07","S"
"NGO","SPK","2016","02","07","Y"
"NGO","SPK","2016","02","07","Y"
"NGO","SPK","2016","02","07","Y"
"NGO","SPK","2016","02","07","Y"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","Y"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","Y"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2016","02","07","S"
"SPK","NGO","2015","12","28","Y"
"SPK","NGO","2016","02","06","Y"
"SPK","NGO","2016","02","07","Y"
"SPK","HND","2016","02","07","Y"
"SPK","HND","2016","02","07","Y"
"SPK","HND","2016","02","07","Y"
"SPK","HND","2016","02","07","S"
"SPK","HND","2016","02","07","S"
"SPK","HND","2016","02","07","S"
"SPK","HND","2016","02","07","S"
"SPK","HND","2016","02","07","S"
