"MarketPlace","product_category","product_title","star_rating","verified_purchase","helpful_vote"
"UK","PC","Amazon Zip Sleeve for 7-Inch Tablets",4,"Y",0
"US","Mobile_Apps","Shine Runner",5,"Y",6
"US","Mobile_Apps","Subway Surfers",5,"Y",0
"US","Mobile_Apps","Temple Run 2",1,"Y",6
"US","Mobile_Apps","101-in-1 Games",5,"Y",0
"UK","Mobile_Apps","Facebook",3,"Y",0
"US","Mobile_Apps","Mystery Manor",5,"Y",0
"US","Mobile_Apps","Angry Birds Free",5,"Y",0
"US","Mobile_Apps","Jewel Legends: Tree of Life (Full)",1,"Y",0
"US","Mobile_Apps","Frozen Free Fall",5,"Y",0
"US","Mobile_Apps","Crossy Road",5,"Y",0
"US","Mobile_Apps","Alarm Clock for Me free",5,"Y",0
"US","Mobile_Apps","Letters From Nowhere®: A Hidden Object Mystery",1,"Y",0
"UK","Mobile_Apps","Magic Jigsaw Puzzles",4,"Y",0
"US","Mobile_Apps","Dominoes",1,"Y",3
"US","Mobile_Apps","Terraria",5,"Y",0
"US","Digital_Music_Purchase","Hail to the King",5,"Y",0
"US","Mobile_Apps","Duolingo: Learn Languages Free",5,"Y",0
"US","Mobile_Apps","8 Ball Pool",5,"Y",0
"US","Mobile_Apps","Kingdom Rush Frontiers",5,"N",0
"US","Mobile_Apps","Solitaire",5,"Y",0
"US","Musical Instruments","BEHRINGER TU300",5,"Y",0
"US","Mobile_Apps","Goat Simulator",4,"Y",1
"US","Mobile_Apps","Can You Escape",5,"Y",0
"US","Mobile_Apps","Coin Dozer",5,"Y",0
"UK","Mobile_Apps","Azada (Full)",5,"Y",0
"US","Mobile_Apps","The Weather Channel: Forecast, Radar & Alerts",1,"Y",1
"US","Mobile_Apps","Google Maps  Street View",5,"Y",0
"US","Mobile_Apps","Calculator Plus Free",5,"Y",0
"UK","Mobile_Apps","The Dark Knight Rises (Kindle Tablet Edition)",5,"Y",0
"US","Digital_Music_Purchase","Rhythm & Blues",3,"Y",0
"US","Mobile_Apps","Candy Crush Saga",5,"Y",1
"US","Digital_Music_Purchase","x (Deluxe Edition)",5,"Y",0
"US","Mobile_Apps","Granny Smith",5,"Y",0
"US","Mobile_Apps","Calculator Plus Free",5,"Y",0
"UK","Mobile_Apps","8 Ball Pool",5,"Y",0
"US","Mobile_Apps","Buttons and Scissors (Pro)",4,"Y",0
"US","Mobile_Apps","Handy Photo",5,"Y",0
"UK","Mobile_Apps","Where's Wally Now?™ (Kindle Tablet Edition)",4,"Y",4
"US","Mobile_Apps","Ichi",3,"Y",0
"DE","Toys","STAR WARS Unisex Wecker Analog Kunststoff weiß STAR3",1,"Y",10
"UK","Mobile_Apps","The Lost City",5,"Y",8
"US","Mobile_Apps","MY LITTLE PONY - Friendship is Magic",1,"Y",0
"US","Mobile_Apps","Facebook",5,"Y",0
"US","Mobile_Apps","8 Ball Pool",4,"Y",0
"UK","Mobile_Apps","Angry Birds Epic RPG",5,"Y",0
"US","Mobile_Apps","Draw Something Free",5,"Y",0
"JP","Toys","トランスフォーマーGo! G13 ハンターショックウェーブ",3,"Y",1
"US","Mobile_Apps","Subway Surfers",5,"Y",0
"US","Mobile_Apps","Flappy Wings (not Flappy Bird)",5,"Y",0
"US","Mobile_Apps","Coin Dozer",5,"Y",0
"US","Mobile_Apps","Cookie Jam",5,"Y",0
"UK","Mobile_Apps","Coin Dozer",5,"Y",0
"US","Mobile_Apps","Ice Age Village",5,"Y",0
"US","Mobile_Apps","Weather",1,"Y",5
"US","Mobile_Apps","Amazon Music [Android]",5,"Y",0
"US","Mobile_Apps","Angry Birds Seasons Free",4,"N",5
"US","Mobile_Apps","The Room Two (Kindle Tablet Edition)",5,"Y",0
"US","Mobile_Apps","Candy Crush Saga",5,"Y",0
"US","Mobile_Apps","The Weather Channel: Forecast, Radar & Alerts",1,"Y",1
"US","Mobile_Apps","Calculator Plus",5,"Y",0
"US","Mobile_Apps","Cut the Rope",5,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",3,"Y",0
"US","Toys","LEGO Star Wars Death Star (10188) (Discontinued by manufacturer)",5,"Y",0
"US","Mobile_Apps","Subway Surfers",4,"Y",0
"US","Mobile_Apps","Survivors: The Quest®",4,"Y",0
"US","PC","Marware Axis Genuine Leather Rotating, Standing Case for Kindle Fire HD 7"" (only fits Kindle Fire HD 7"")",4,"Y",0
"US","Mobile_Apps","WiFi File Explorer PRO",5,"Y",2
"US","Digital_Music_Purchase","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do",5,"N",0
"US","Mobile_Apps","Learn Piano",1,"Y",0
"US","Mobile_Apps","Repix - Full Version",5,"Y",1
"US","Mobile_Apps","Down The Hatch",5,"Y",2
"US","Digital_Music_Purchase","Simply The Best",2,"N",0
"DE","Toys","Lego Herr der Ringe 79008 - Hinterhalt auf dem Piratenschiff",5,"Y",0
"DE","Toys","Pegasus Spiele 54541G - Camel Up, Spiel des Jahres 2014",5,"Y",2
"US","Mobile_Apps","Airo Ball",3,"Y",0
"US","Mobile_Apps","Magic Jigsaw Puzzles",3,"Y",0
"US","Mobile_Apps","Temple Run 2",5,"Y",0
"JP","Mobile_Apps","Townsmen",5,"Y",1
"US","Mobile_Apps","Temple Run",5,"Y",0
"US","Mobile_Apps","Farm Clan®: Farm Life Adventure",4,"Y",0
"US","Mobile_Apps","Magic Jigsaw Puzzles",4,"Y",0
"US","Mobile_Apps","Dragon City",5,"Y",0
"US","Mobile_Apps","Temple Run",4,"Y",0
"US","Mobile_Apps","Ultimate Hangman HD",4,"Y",0
"US","Mobile_Apps","Duolingo: Learn Languages Free",5,"Y",0
"US","Mobile_Apps","Buttons and Scissors",5,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",1,"Y",0
"UK","Mobile_Apps","Royal Envoy (Premium)",5,"Y",0
"US","Mobile_Apps","The Room Two (Kindle Tablet Edition)",5,"Y",0
"US","Mobile_Apps","Candy Crush Saga",5,"Y",0
"UK","Mobile_Apps","My Alarm Clock - Wake up to the digital alarm clock app with sleep timer and current weather conditions",1,"Y",25
"US","Mobile_Apps","Calculator Plus Free",5,"Y",1
"US","Mobile_Apps","Minecraft",5,"Y",0
"US","Mobile_Apps","Geometry Dash Lite",5,"Y",0
"US","Digital_Music_Purchase","Music From Another Dimension!",4,"Y",0
"US","Toys","Uncle Milton Radio Control Tarantula",4,"Y",0
"US","Digital_Music_Purchase","Bloodstone & Diamonds",5,"Y",0
"US","Mobile_Apps","Call of Duty®: Heroes",5,"Y",0
"US","Mobile_Apps","Angry Birds Rio (Ad-Free)",5,"Y",0
"US","Mobile_Apps","REBALL (Pro)",5,"Y",0
"UK","Toys","NERF N-Strike Elite Hail-Fire",5,"Y",2
"UK","Toys","Beyblades #BB118 Japanese Metal Fusion Phantom Orion Starter Set(Discontinued by manufacturer)",5,"N",12
"US","Mobile_Apps","Jetpack Joyride",5,"Y",0
"US","Mobile_Apps","Nemo's Reef",5,"Y",0
"US","Mobile_Apps","Magic Jigsaw Puzzles",2,"Y",0
"US","Mobile_Apps","Bills Reminder",5,"Y",0
"US","Mobile_Apps","CSI: Hidden Crimes",1,"Y",0
"US","Mobile_Apps","White Noise",5,"Y",0
"US","Mobile_Apps","Mystery Manor",4,"Y",0
"US","Digital_Music_Purchase","Cecilia Bartoli - Arie Antiche: Se tu m'ami",5,"Y",0
"US","Mobile_Apps","Candy Crush Saga",3,"Y",0
"US","Mobile_Apps","Wolfram|Alpha",4,"Y",0
"US","Mobile_Apps","Can You Escape",5,"Y",0
"US","Mobile_Apps","Candy Crush Saga",5,"Y",0
"UK","Mobile_Apps","Spider",5,"Y",0
"UK","Toys","Pass the Pigs Dice Game",5,"Y",0
"US","Mobile_Apps","Magic Jigsaw Puzzles",1,"Y",0
"US","Mobile_Apps","Temple Run 2",4,"Y",0
