marketplace,product_category,product_title,star_rating,verified_purchase,helpful_votes
UK,PC,Amazon Zip Sleeve for 7-Inch Tablets,4,1,0
UK,Mobile_Apps,Facebook,3,1,0
US,Digital_Music_Purchase,Hail to the King,5,1,0
US,Musical Instruments,BEHRINGER TU300,5,1,0
US,Digital_Music_Purchase,Rhythm & Blues,3,1,0
US,Mobile_Apps,Candy Crush Saga,5,1,1
US,Digital_Music_Purchase,x (Deluxe Edition),5,1,0
US,Mobile_Apps,Buttons and Scissors (Pro),4,1,0
US,Mobile_Apps,Handy Photo,5,1,0
DE,Toys,STAR WARS Unisex Wecker Analog Kunststoff weiß STAR3,1,1,10
US,Mobile_Apps,MY LITTLE PONY - Friendship is Magic,1,1,0
JP,Toys,トランスフォーマーGo! G13 ハンターショックウェーブ,3,1,1
US,Mobile_Apps,The Room Two (Kindle Tablet Edition),5,1,0
US,Toys,LEGO Star Wars Death Star (10188) (Discontinued by manufacturer),5,1,0
US,PC,"Marware Axis Genuine Leather Rotating, Standing Case for Kindle Fire HD 7"" (only fits Kindle Fire HD 7"")",4,1,0
US,Digital_Music_Purchase,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do,5,0,0
US,Mobile_Apps,Learn Piano,1,1,0
US,Digital_Music_Purchase,Simply The Best,2,0,0
DE,Toys,Lego Herr der Ringe 79008 - Hinterhalt auf dem Piratenschiff,5,1,0
DE,Toys,"Pegasus Spiele 54541G - Camel Up, Spiel des Jahres 2014",5,1,2
US,Mobile_Apps,Magic Jigsaw Puzzles,4,1,0
US,Digital_Music_Purchase,Music From Another Dimension!,4,1,0
US,Toys,Uncle Milton Radio Control Tarantula,4,1,0
US,Digital_Music_Purchase,Bloodstone & Diamonds,5,1,0
UK,Toys,NERF N-Strike Elite Hail-Fire,5,1,2
UK,Toys,Beyblades #BB118 Japanese Metal Fusion Phantom Orion Starter Set(Discontinued by manufacturer),5,0,12
US,Digital_Music_Purchase,Cecilia Bartoli - Arie Antiche: Se tu m'ami,5,1,0
US,Mobile_Apps,Wolfram|Alpha,4,1,0
UK,Toys,Pass the Pigs Dice Game,5,1,0
DE,Office Products,"CASIO FX-5800P programmierbarer technisch-wissenschaftlicher Rechner, 4-zeilige Anzeige",4,1,1
UK,Digital_Music_Purchase,Ceremonials,5,1,0
UK,Toys,Orchard Toys Bus Stop,5,1,0
UK,Toys,Schleich - Donkey Foal,5,1,0
UK,Digital_Music_Purchase,Presence [Explicit],1,0,1
UK,PC,"Timbuk2 Envelope Sleeve for Kindle with 360 degree protection [will only fit Kindle Paperwhite, Kindle (5th Generation), Kindle Touch (4th Generation) and Kindle (7th Generation)]",4,1,2
US,Mobile_Apps,Fruit Ninja Free,5,1,0
UK,Office Products,Pocket Moleskine Music Notebook,5,1,0
UK,Toys,Intex Wetset Summer Colours Swim Centre 73 x 71 Inch Pool,4,1,1
US,Digital_Music_Purchase,Liquid Spirit,5,1,0
UK,Digital_Music_Purchase,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,5,0,0
US,Mobile_Apps,FREEdi YouTube Downloader,2,1,0
US,PC,"Noctua A-Series Cooling Fan Blades with AAO Frame, SSO2 Bearing (NF-A4x10 FLX)",5,1,0
US,Mobile_Apps,The Secret Society® - Hidden Mystery,5,1,0
US,Mobile_Apps,8 Ball Pool,4,1,0
JP,PC,インテル Celeron G1620 (Ivy Bridge 2.70GHz) LGA1155 BX80637G1620,5,0,1
US,Toys,Barbie ZipBin 40 Doll Dream House Toy Box & Playmat,5,1,0
US,Toys,Perplexus Epic,5,1,0
DE,Toys,NERF N-Strike Longstrike CS-6,3,1,3
DE,Toys,"HABA 4170 - Obstgarten, Würfelspiel",5,0,0
US,Mobile_Apps,Ultimate Hangman HD,4,1,0
DE,PC,Amazon Kindle USB-Ersatzkabel für eReader,5,1,0
UK,Toys,The LEGO Movie 70809: Lord Business' Evil Lair,5,1,0
US,Mobile_Apps,Grim Legends: The Forsaken Bride (Full),5,1,0
DE,Toys,Lego Spiele 3844 - Creationary,4,1,0
DE,Toys,Brio 33223 - Rote Lola Batterielok,4,0,1
UK,Toys,"Papo 54006 ""French Black and White Bull Dog"" Figure",1,1,0
US,Digital_Music_Purchase,Popular Problems,5,1,1
US,Mobile_Apps,Quell,5,1,0
US,Mobile_Apps,Temple Run,5,1,0
US,Digital_Music_Purchase,Born This Way,5,0,1
US,Digital_Music_Purchase,Tapestry,5,1,0
DE,Toys,"Mattel Disney's Sofia die Erste Y6654 - Sofia und königliche Familie, 5 Puppen Set",5,1,0
US,Mobile_Apps,Vevo - Watch Music Videos,4,1,0
US,Digital_Music_Purchase,The Best Of Sade,5,1,1
UK,Mobile_Apps,Learn Piano,5,1,0
UK,Mobile_Apps,MapFactor Navigator,1,1,0
US,Mobile_Apps,Minecraft,5,1,0
US,Mobile_Apps,The Secret Society® - Hidden Mystery,4,1,0
UK,Digital_Music_Purchase,Powerage,5,1,0
US,PC,"Adonit Jot Script Evernote Edition Fine Point Precision Stylus for iPad, iPad Air, iPad Mini and iPhone [Previous Generation]",2,1,1
US,Toys,Cra-Z-Art Shimmer 'n Sparkle Cra-Z-Loom Bracelet Maker,5,1,0
US,Mobile_Apps,Dragon City,5,1,0
US,Digital_Music_Purchase,Sonic Highways [Explicit],5,1,0
