"marketplace","product_category","product_title","star_rating","verified_purchase","helpful_votes"
"UK","PC","Amazon Zip Sleeve for 7-Inch Tablets",4,1,0
"US","Mobile_Apps","Shine Runner",5,1,6
"US","Mobile_Apps","Subway Surfers",5,1,0
"US","Mobile_Apps","Temple Run 2",1,1,6
"US","Mobile_Apps","101-in-1 Games",5,1,0
"UK","Mobile_Apps","Facebook",3,1,0
"US","Mobile_Apps","Mystery Manor",5,1,0
"US","Mobile_Apps","Angry Birds Free",5,1,0
"US","Mobile_Apps","Jewel Legends: Tree of Life (Full)",1,1,0
"US","Mobile_Apps","Frozen Free Fall",5,1,0
"US","Mobile_Apps","Crossy Road",5,1,0
"US","Mobile_Apps","Alarm Clock for Me free",5,1,0
"US","Mobile_Apps","Letters From Nowhere®: A Hidden Object Mystery",1,1,0
"UK","Mobile_Apps","Magic Jigsaw Puzzles",4,1,0
"US","Mobile_Apps","Dominoes",1,1,3
"US","Mobile_Apps","Terraria",5,1,0
"US","Digital_Music_Purchase","Hail to the King",5,1,0
"US","Mobile_Apps","Duolingo: Learn Languages Free",5,1,0
"US","Mobile_Apps","8 Ball Pool",5,1,0
"US","Mobile_Apps","Kingdom Rush Frontiers",5,0,0
"US","Mobile_Apps","Solitaire",5,1,0
"US","Musical Instruments","BEHRINGER TU300",5,1,0
"US","Mobile_Apps","Goat Simulator",4,1,1
"US","Mobile_Apps","Can You Escape",5,1,0
"US","Mobile_Apps","Coin Dozer",5,1,0
"UK","Mobile_Apps","Azada (Full)",5,1,0
"US","Mobile_Apps","The Weather Channel: Forecast, Radar & Alerts",1,1,1
"US","Mobile_Apps","Google Maps  Street View",5,1,0
"US","Mobile_Apps","Calculator Plus Free",5,1,0
"UK","Mobile_Apps","The Dark Knight Rises (Kindle Tablet Edition)",5,1,0
"US","Digital_Music_Purchase","Rhythm & Blues",3,1,0
"US","Mobile_Apps","Candy Crush Saga",5,1,1
"US","Digital_Music_Purchase","x (Deluxe Edition)",5,1,0
"US","Mobile_Apps","Granny Smith",5,1,0
"US","Mobile_Apps","Calculator Plus Free",5,1,0
"UK","Mobile_Apps","8 Ball Pool",5,1,0
"US","Mobile_Apps","Buttons and Scissors (Pro)",4,1,0
"US","Mobile_Apps","Handy Photo",5,1,0
"UK","Mobile_Apps","Where's Wally Now?™ (Kindle Tablet Edition)",4,1,4
"US","Mobile_Apps","Ichi",3,1,0
"DE","Toys","STAR WARS Unisex Wecker Analog Kunststoff weiß STAR3",1,1,10
"UK","Mobile_Apps","The Lost City",5,1,8
"US","Mobile_Apps","MY LITTLE PONY - Friendship is Magic",1,1,0
"US","Mobile_Apps","Facebook",5,1,0
"US","Mobile_Apps","8 Ball Pool",4,1,0
"UK","Mobile_Apps","Angry Birds Epic RPG",5,1,0
"US","Mobile_Apps","Draw Something Free",5,1,0
"JP","Toys","トランスフォーマーGo! G13 ハンターショックウェーブ",3,1,1
"US","Mobile_Apps","Subway Surfers",5,1,0
"US","Mobile_Apps","Flappy Wings (not Flappy Bird)",5,1,0
"US","Mobile_Apps","Coin Dozer",5,1,0
"US","Mobile_Apps","Cookie Jam",5,1,0
"UK","Mobile_Apps","Coin Dozer",5,1,0
"US","Mobile_Apps","Ice Age Village",5,1,0
"US","Mobile_Apps","Weather",1,1,5
"US","Mobile_Apps","Amazon Music [Android]",5,1,0
"US","Mobile_Apps","Angry Birds Seasons Free",4,0,5
"US","Mobile_Apps","The Room Two (Kindle Tablet Edition)",5,1,0
"US","Mobile_Apps","Candy Crush Saga",5,1,0
"US","Mobile_Apps","The Weather Channel: Forecast, Radar & Alerts",1,1,1
"US","Mobile_Apps","Calculator Plus",5,1,0
"US","Mobile_Apps","Cut the Rope",5,1,0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",3,1,0
"US","Toys","LEGO Star Wars Death Star (10188) (Discontinued by manufacturer)",5,1,0
