marketplace|product_category|product_title|star_rating|verified_purchase|helpful_votes|
-----|-----|-----|-----|-----|-----|
UK|Toys|Elsa Musical Wand|5.0|Y|0.0|
US|Mobile_Apps|The Cursed Ship, Collector’s Edition|3.0|Y|0.0|
US|Digital_Music_Purchase|Transit Of Venus|4.0|Y|1.0|
US|PC|Griffin 3m USB to Lightning Cable (GC36633)|1.0|Y|0.0|
DE|Toys|Lego Duplo Winnie the Pooh 5945 - Winnie Poohs Picknick|5.0|Y|0.0|
US|Mobile_Apps|Crossy Road|5.0|Y|0.0|
US|Toys|Schleich Tyrannosaurus Rex|5.0|Y|0.0|
US|Digital_Music_Purchase|Mylo Xyloto|5.0|N|0.0|
US|Digital_Music_Purchase|Need You Now|5.0|Y|0.0|
US|Digital_Music_Purchase|Rhythm & Blues|3.0|Y|0.0|
US|Toys|LEGO Friends Heartlake Shopping Mall Building Set 41058|5.0|Y|4.0|
US|Digital_Music_Purchase|Elvis 30 #1 Hits|5.0|Y|0.0|
US|Mobile_Apps|Game of War - Fire Age|5.0|Y|1.0|
FR|PC|Kingston FCR-MRG2 Lecteur de carte MicroSD Gen 2 USB|5.0|Y|0.0|
US|Mobile_Apps|K-9 Mail|5.0|Y|0.0|
US|Digital_Music_Purchase|The Twilight Saga: New Moon (Original Motion Picture Soundtrack)|2.0|Y|4.0|
FR|Toys|Batman - W7219 - Figurine - Batpod Quick Tek|5.0|Y|2.0|
US|Mobile_Apps|Jetpack Joyride|3.0|Y|0.0|
US|Digital_Music_Purchase|Bloodstone & Diamonds|5.0|Y|0.0|
UK|Toys|Intex Wetset Summer Colours Swim Centre 73 x 71 Inch Pool|4.0|Y|1.0|
