"review","brand","variety","style","country","stars"
2579,"Just Way","Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles","Pack","Taiwan",1
2574,"Acecook","Spice Deli Tantan Men With Cilantro","Cup","Japan",4
2570,"Tao Kae Noi","Creamy tom Yum Kung Flavour","Pack","Thailand",5
2569,"Yamachan","Yokohama Tonkotsu Shoyu","Pack","USA",5
2566,"Nissin","Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle","Pack","Hong Kong",5
2563,"Yamachan","Tokyo Shoyu Ramen","Pack","USA",5
2562,"Binh Tay","Mi Hai Cua","Pack","Vietnam",4
2561,"Paldo","Premium Gomtang","Pack","South Korea",4
2559,"Jackpot Teriyaki","Beef Ramen","Pack","USA",5
2558,"KOKA","Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor","Cup","Singapore",5
2552,"MyKuali","Penang White Curry Rice Vermicelli Soup","Bowl","Malaysia",5
2551,"KOKA","Signature Tom Yum Flavor Instant Noodles","Pack","Singapore",4
2550,"Samyang Foods","Paegaejang Ramen","Pack","South Korea",5
2547,"Sichuan Guangyou","Chongqing Spicy Hot Noodles","Bowl","China",4
2545,"KOKA","Instant Noodles Laksa Singapura Flavour","Pack","Singapore",5
2543,"KOKA","Curry Flavour Instant Noodles","Cup","Singapore",5
2541,"Nissin","Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup","Cup","USA",5
2538,"Nissin","Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup","Cup","USA",5
2537,"Nissin","Cup NoodlesTom Yam Seafood (More Shrimptacular)","Cup","Singapore",5
2535,"Nissin","Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup","Cup","USA",5
2534,"Fujiwara","Hokkaido Hakodate Shoyu Ramen","Pack","Japan",4
2533,"Nongshim","Shin Ramyun Black","Pack","South Korea",5
2530,"Ottogi","Ppushu Ppushu Noodle Snack Honey Butter","Pack","South Korea",2
2528,"Prima","Juzz's Mee Creamy Chicken Flavour (Export Version)","Pack","Singapore",5
2527,"Uni-President","Mushroom Flavor","Pack","Vietnam",0
2524,"Nissin","Straits Reborn Laksa","Pack","Singapore",5
2522,"Takamori","Hearty Japanese Style Curry Udon","Pack","Japan",5
2520,"Nissin","Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab)","Cup","Singapore",5
2519,"Guava Story","Anchovy Flavor Guava Rice Noodles","Tray","South Korea",1
2518,"Samurai Ramen","Umami Ramen","Pack","Japan",4
2515,"Uni-President","Man Han Feast Spicy Beef Flavor Instant Noodles","Bowl","Taiwan",5
2512,"Mom's Dry Noodle","Dan Dan Noodle","Pack","Taiwan",5
2511,"Samyang Foods","Samyang Ramen Classic Edition","Bowl","South Korea",5
2510,"MyKuali","Penang Red Tom Yum Goong Noodle","Pack","Malaysia",5
2507,"Indomie","RMy Noodlez Rumput Laut","Pack","Indonesia",4
2504,"Nongshim","Shin Ramyun","Pack","South Korea",3
2503,"Sichuan Guangyou","Sweet Potato Instant Noodle Sout-Hot Flavor","Bowl","China",0
2501,"Happy Cook","Toona Paste Noodle","Pack","Taiwan",4
