Survived,Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
1,2,Mrs. Amin S (Marie Marthe Thuillard) Jerwan,female,23.0,0,0,13.7917
0,3,Mr. William Thomas Beavan,male,19.0,0,0,8.05
1,1,Miss. Kornelia Theodosia Andrews,female,63.0,1,0,77.9583
0,3,Master. Eino Viljami Panula,male,1.0,4,1,39.6875
1,1,Mr. Algernon Henry Wilson Barkworth,male,80.0,0,0,30.0
0,3,Mr. Farred Chehab Emir,male,26.0,0,0,7.225
0,1,Mr. Sante Ringhini,male,22.0,0,0,135.6333
1,2,Mrs. Charles Alexander (Alice Adelaide Slow) Louch,female,42.0,1,0,26.0
1,3,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,33.0,3,0,15.85
1,1,Mr. Gustave J Lesurer,male,35.0,0,0,512.3292
1,3,Master. Harold Theodor Johnson,male,4.0,1,1,11.1333
0,3,Mr. Henrik Juul Hansen,male,26.0,1,0,7.8542
1,1,Lady. (Lucille Christiana Sutherland)Duff Gordon,female,48.0,1,0,39.6
1,1,Mr. Frederick Maxfield Hoyt,male,38.0,1,0,90.0
0,3,Mr. Francesco Celotti,male,24.0,0,0,8.05
1,1,Mr. Frederic Kimber Seward,male,34.0,0,0,26.55
1,2,Mrs. Samuel (Jane Laver) Herman,female,48.0,1,2,65.0
1,1,Miss. Margaret Edith Graham,female,19.0,0,0,30.0
0,1,Mr. Victor Robbins,male,45.0,0,0,227.525
0,3,Mr. Frederick William Shellard,male,55.0,0,0,15.1
