Survived,Sex,Name
0,male,Mr. Owen Harris Braund
1,female,Mrs. John Bradley (Florence Briggs Thayer) Cumings
1,female,Miss. Laina Heikkinen
1,female,Mrs. Jacques Heath (Lily May Peel) Futrelle
0,male,Mr. William Henry Allen
0,male,Mr. James Moran
0,male,Mr. Timothy J McCarthy
0,male,Master. Gosta Leonard Palsson
1,female,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson
1,female,Mrs. Nicholas (Adele Achem) Nasser
1,female,Miss. Marguerite Rut Sandstrom
1,female,Miss. Elizabeth Bonnell
0,male,Mr. William Henry Saundercock
0,male,Mr. Anders Johan Andersson
0,female,Miss. Hulda Amanda Adolfina Vestrom
1,female,Mrs. (Mary D Kingcome) Hewlett
0,male,Master. Eugene Rice
1,male,Mr. Charles Eugene Williams
0,female,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke
1,female,Mrs. Fatima Masselmani
0,male,Mr. Joseph J Fynney
1,male,Mr. Lawrence Beesley
1,female,Miss. Anna McGowan
1,male,Mr. William Thompson Sloper
0,female,Miss. Torborg Danira Palsson
1,female,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund
0,male,Mr. Farred Chehab Emir
0,male,Mr. Charles Alexander Fortune
1,female,Miss. Ellen O'Dwyer
0,male,Mr. Lalio Todoroff
0,male,Don. Manuel E Uruchurtu
1,female,Mrs. William Augustus (Marie Eugenie) Spencer
1,female,Miss. Mary Agatha Glynn
0,male,Mr. Edward H Wheadon
0,male,Mr. Edgar Joseph Meyer
0,male,Mr. Alexander Oskar Holverson
1,male,Mr. Hanna Mamee
0,male,Mr. Ernest Charles Cann
0,female,Miss. Augusta Maria Vander Planke
1,female,Miss. Jamila Nicola-Yarred
0,female,Mrs. Johan (Johanna Persdotter Larsson) Ahlin
0,female,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin
1,female,Miss. Simonne Marie Anne Andree Laroche
1,female,Miss. Margaret Delia Devaney
0,male,Mr. William John Rogers
0,male,Mr. Denis Lennon
1,female,Miss. Bridget O'Driscoll
0,male,Mr. Youssef Samaan
0,female,Mrs. Josef (Josefine Franchi) Arnold-Franchi
0,male,Master. Juha Niilo Panula
0,male,Mr. Richard Cater Nosworthy
1,female,Mrs. Henry Sleeper (Myna Haxtun) Harper
1,female,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe
0,male,Mr. Engelhart Cornelius Ostby
1,male,Mr. Hugh Woolner
1,female,Miss. Emily Rugg
0,male,Mr. Mansouer Novel
1,female,Miss. Constance Mirium West
0,male,Master. William Frederick Goodwin
0,male,Mr. Orsen Sirayanian
1,female,Miss. Amelie Icard
0,male,Mr. Henry Birkhardt Harris
0,male,Master. Harald Skoog
0,male,Mr. Albert A Stewart
1,male,Master. Gerios Moubarek
1,female,Mrs. (Elizabeth Ramell) Nye
0,male,Mr. Ernest James Crease
1,female,Miss. Erna Alexandra Andersson
0,male,Mr. Vincenz Kink
0,male,Mr. Stephen Curnow Jenkin
0,female,Miss. Lillian Amy Goodwin
0,male,Mr. Ambrose Jr Hood
0,male,Mr. Apostolos Chronopoulos
1,male,Mr. Lee Bing
0,male,Mr. Sigurd Hansen Moen
0,male,Mr. Ivan Staneff
0,male,Mr. Rahamin Haim Moutal
1,male,Master. Alden Gates Caldwell
1,female,Miss. Elizabeth Dowdell
0,male,Mr. Achille Waelens
1,male,Mr. Jan Baptist Sheerlinck
1,female,Miss. Brigdet Delia McDermott
0,male,Mr. Francisco M Carrau
1,female,Miss. Bertha Ilett
1,female,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom
0,male,Mr. William Neal Ford
0,male,Mr. Selman Francis Slocovski
1,female,Miss. Mabel Helen Fortune
0,male,Mr. Francesco Celotti
0,male,Mr. Emil Christmann
0,male,Mr. Paul Edvin Andreasson
0,male,Mr. Herbert Fuller Chaffee
0,male,Mr. Bertram Frank Dean
0,male,Mr. Daniel Coxon
0,male,Mr. Charles Joseph Shorney
0,male,Mr. George B Goldschmidt
1,male,Mr. William Bertram Greenfield
1,female,Mrs. John T (Ada Julia Bone) Doling
0,male,Mr. Sinai Kantor
