survived,sex,age,class,alone
0,male,22.0,Third,False
1,female,38.0,First,False
1,female,26.0,Third,True
1,female,35.0,First,False
0,male,35.0,Third,True
0,male,,Third,True
0,male,54.0,First,True
0,male,2.0,Third,False
1,female,27.0,Third,False
1,female,14.0,Second,False
1,female,4.0,Third,False
1,female,58.0,First,True
0,male,20.0,Third,True
0,male,39.0,Third,False
0,female,14.0,Third,True
1,female,55.0,Second,True
0,male,2.0,Third,False
1,male,,Second,True
0,female,31.0,Third,False
1,female,,Third,True
0,male,35.0,Second,True
1,male,34.0,Second,True
1,female,15.0,Third,True
1,male,28.0,First,True
0,female,8.0,Third,False
1,female,38.0,Third,False
0,male,,Third,True
0,male,19.0,First,False
1,female,,Third,True
0,male,,Third,True
0,male,40.0,First,True
1,female,,First,False
1,female,,Third,True
0,male,66.0,Second,True
0,male,28.0,First,False
0,male,42.0,First,False
1,male,,Third,True
0,male,21.0,Third,True
0,female,18.0,Third,False
1,female,14.0,Third,False
0,female,40.0,Third,False
0,female,27.0,Second,False
0,male,,Third,True
1,female,3.0,Second,False
1,female,19.0,Third,True
0,male,,Third,True
0,male,,Third,False
1,female,,Third,True
0,male,,Third,False
0,female,18.0,Third,False
0,male,7.0,Third,False
0,male,21.0,Third,True
1,female,49.0,First,False
1,female,29.0,Second,False
0,male,65.0,First,False
1,male,,First,True
1,female,21.0,Second,True
0,male,28.5,Third,True
1,female,5.0,Second,False
0,male,11.0,Third,False
0,male,22.0,Third,True
1,female,38.0,First,True
0,male,45.0,First,False
0,male,4.0,Third,False
0,male,,First,True
1,male,,Third,False
1,female,29.0,Second,True
0,male,19.0,Third,True
1,female,17.0,Third,False
0,male,26.0,Third,False
0,male,32.0,Second,True
0,female,16.0,Third,False
0,male,21.0,Second,True
0,male,26.0,Third,False
1,male,32.0,Third,True
0,male,25.0,Third,True
0,male,,Third,True
0,male,,Third,True
1,male,0.83,Second,False
1,female,30.0,Third,True
0,male,22.0,Third,True
1,male,29.0,Third,True
1,female,,Third,True
0,male,28.0,First,True
1,female,17.0,Second,True
1,female,33.0,Third,False
0,male,16.0,Third,False
0,male,,Third,True
1,female,23.0,First,False
0,male,24.0,Third,True
0,male,29.0,Third,True
0,male,20.0,Third,True
0,male,46.0,First,False
0,male,26.0,Third,False
0,male,59.0,Third,True
0,male,,Third,True
0,male,71.0,First,True
1,male,23.0,First,False
1,female,34.0,Second,False
0,male,34.0,Second,False
0,female,28.0,Third,True
0,male,,Third,True
0,male,21.0,First,False
0,male,33.0,Third,True
0,male,37.0,Third,False
0,male,28.0,Third,True
1,female,21.0,Third,True
1,male,,Third,True
0,male,38.0,Third,True
1,female,,Third,False
0,male,47.0,First,True
0,female,14.5,Third,False
0,male,22.0,Third,True
0,female,20.0,Third,False
0,female,17.0,Third,True
0,male,21.0,Third,True
0,male,70.5,Third,True
0,male,29.0,Second,False
0,male,24.0,First,False
0,female,2.0,Third,False
0,male,21.0,Second,False
0,male,,Third,True
0,male,32.5,Second,False
1,female,32.5,Second,True
0,male,54.0,First,False
1,male,12.0,Third,False
0,male,,Third,True
1,male,24.0,Third,True
1,female,,Third,False
0,male,45.0,Third,True
0,male,33.0,Third,True
0,male,20.0,Third,True
0,female,47.0,Third,False
