marketplace	review_id	product_id	product_category	star_rating	year	month	review_date
UK	R2D1VN26VB52J0	B005DOL0R0	PC	4	2015	6	2015-06-17
US	R227AKNUDMALRT	B006N0YWGY	Mobile_Apps	5	2012	2	2012-02-05
US	R3QKWFUMPXK7WF	B009UX2YAC	Mobile_Apps	5	2014	2	2014-02-11
US	R36EDJI0TQ59V5	B00B2V66VS	Mobile_Apps	1	2015	3	2015-03-24
US	R2MCQNEALKQ1Y6	B0054JZC6E	Mobile_Apps	5	2012	4	2012-04-16
UK	RC98JYWAQUZVS	B0094BB4TW	Mobile_Apps	3	2014	10	2014-10-19
US	R1CYPW3LETPTCN	B0091REZMW	Mobile_Apps	5	2013	11	2013-11-03
US	R2IQ07J1AEPRKF	B004SJ3BCI	Mobile_Apps	5	2011	11	2011-11-29
US	RCW5PBZOAGACG	B00BJA2VFW	Mobile_Apps	1	2014	12	2014-12-20
US	R19ZSKFTU408PA	B00IKZX1ZI	Mobile_Apps	5	2014	4	2014-04-02
US	R2RCE8XWC7GUNL	B00QW8TYWO	Mobile_Apps	5	2015	3	2015-03-20
US	R3SX1QD66TKHE0	B009ZZDNT6	Mobile_Apps	5	2013	10	2013-10-15
US	R36BPOTQ0HD6OZ	B00J2VSS0C	Mobile_Apps	1	2015	3	2015-03-01
UK	RIYO181NYHS9K	B00881VLCE	Mobile_Apps	4	2015	1	2015-01-16
US	RHXBJ7R375W2W	B004UHSB5A	Mobile_Apps	1	2012	2	2012-02-23
US	R14GSQOMQLPEYO	B00G6ZTM3Y	Mobile_Apps	5	2014	1	2014-01-25
US	R3HMA6X0FJGAAY	B00EOO55GW	Digital_Music_Purchase	5	2013	9	2013-09-17
US	RAB5RG4SIJUIT	B00F8L2VO4	Mobile_Apps	5	2014	10	2014-10-02
US	R2FEADI93E6RPB	B00DVKOYBM	Mobile_Apps	5	2014	9	2014-09-16
US	RGDU20Q85TRJZ	B00G4PX1MO	Mobile_Apps	5	2014	7	2014-07-31
US	R6L1HXW3FG2G1	B0063IH60K	Mobile_Apps	5	2015	8	2015-08-30
US	R19LKGITNCCTL5	B000SJJCX4	Musical Instruments	5	2008	10	2008-10-09
US	ROTSE6P6LLJI7	B00NWLIW0E	Mobile_Apps	4	2015	8	2015-08-18
US	R3I6OAY41IF69N	B00CWY76CC	Mobile_Apps	5	2014	1	2014-01-26
US	R6POUIC5N8EU4	B008Y2FRFO	Mobile_Apps	5	2012	12	2012-12-31
UK	R274PPB4UZZ4K3	B0080SZ0V8	Mobile_Apps	5	2013	7	2013-07-30
US	R2T9BPFPWCQV11	B0064X7FVE	Mobile_Apps	1	2013	10	2013-10-09
US	R5MBRQAJXTW8Z	B00G9QLP9Y	Mobile_Apps	5	2014	6	2014-06-05
US	R1IILVMMGB2XMU	B007ZGO7EM	Mobile_Apps	5	2015	2	2015-02-17
UK	RBE6K09YYEM1W	B008N1V11U	Mobile_Apps	5	2015	4	2015-04-12
US	R8DJD282SX7FF	B00E0S52K6	Digital_Music_Purchase	3	2015	3	2015-03-04
US	R2MQRPCPI74ECK	B00FAPF5U0	Mobile_Apps	5	2013	10	2013-10-23
US	R57RQ4TZGCFKH	B00JLJ0Y2U	Digital_Music_Purchase	5	2015	4	2015-04-21
US	R2L8G1N6K5DL2H	B00E7SFAAG	Mobile_Apps	5	2013	10	2013-10-13
US	R1Q41W778WWSPE	B007ZGO7EM	Mobile_Apps	5	2013	1	2013-01-15
UK	R3KDZS50PA2B0T	B00DVKOYBM	Mobile_Apps	5	2014	9	2014-09-30
US	R3KX6LOTVN6UIJ	B00EEDJHXA	Mobile_Apps	4	2013	12	2013-12-26
US	R2WXJIP6KUAKH7	B00DDTQE1Y	Mobile_Apps	5	2014	7	2014-07-24
UK	R17GNKNUNGY6P2	B007VGXS8M	Mobile_Apps	4	2013	11	2013-11-20
US	R1MXLOAROAC8LY	B008EL4YX6	Mobile_Apps	3	2014	7	2014-07-01
DE	R3H2FA8KNWUKR0	B0016MZFXS	Toys	1	2011	10	2011-10-10
UK	R2W2UZW4VWGREA	B0073LWEXK	Mobile_Apps	5	2012	11	2012-11-18
US	R70J4JGWM8O1O	B00A8ECU24	Mobile_Apps	1	2014	4	2014-04-16
US	R5DKCENVZYVYK	B0094BB4TW	Mobile_Apps	5	2013	12	2013-12-30
US	RBDVD7V7575V5	B00DVKOYBM	Mobile_Apps	4	2014	9	2014-09-15
UK	R2LD3RMT05B5U2	B00KWVZ750	Mobile_Apps	5	2014	8	2014-08-05
