marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
UK	19372562	R2D1VN26VB52J0	B005DOL0R0	359342335	Amazon Zip Sleeve for 7-Inch Tablets	PC	4.0	0.0	1.0	N	Y	As I said it seems fine.	this seems to be able to protect my kindle it's padded on the inside and fastens but without dropping it or doing something equally daft I can't say how effective it would be. As I said it seems fine.	2015-06-17
US	46196337	R227AKNUDMALRT	B006N0YWGY	513707687	Shine Runner	Mobile_Apps	5.0	6.0	10.0	N	Y	Addictive Fun!!!	This is a great game, I can't seem to put it down. The graphics are great for this type of game and the controls are easy as this game goes full speed. This is the most fun I have had with a game app so far. Vector Unit keep the games coming!	2012-02-05
US	46793844	R3QKWFUMPXK7WF	B009UX2YAC	879319057	Subway Surfers	Mobile_Apps	5.0	0.0	0.0	N	Y	awesome	I love subway suffers cause I have/know a cheat!it is very cool I really really really really really like it!!!!!!!!!	2014-02-11
US	51760336	R36EDJI0TQ59V5	B00B2V66VS	148127986	Temple Run 2	Mobile_Apps	1.0	6.0	9.0	N	Y	strange...	I was doing fine in the game until I noticed that the money counter was not doing anything.  I had over 25,000 lifetime coins and the counter only said it had a little over 1,000 coins.  I could not buy any of the other characters  required to pass the objectives.  It is still a fun game, but it was not working for me.  I have the regular temple run game and it works fine.  I would still recommend it, as long as it will work for your device. A few of the games that I have gotten on my tablet have not always worked correctly, but my battery was just running low when I downloaded them, so that was probably what did it.  I hope you will enjoy your game.	2015-03-24
US	27990387	R2MCQNEALKQ1Y6	B0054JZC6E	846062547	101-in-1 Games	Mobile_Apps	5.0	0.0	0.0	N	Y	pretty cool	I like the game(s) there's diffferent skills to use and what not. it keeps me busy and I enjoy it. personally.. the first set of games was the hardest to me I completed the second group before the firstt one.. but maybe its just me	2012-04-16
UK	28822997	RC98JYWAQUZVS	B0094BB4TW	569156287	Facebook	Mobile_Apps	3.0	0.0	0.0	N	Y	Three Stars	Very good I am just getting used to it.	2014-10-19
US	7213518	R1CYPW3LETPTCN	B0091REZMW	951327357	Mystery Manor	Mobile_Apps	5.0	0.0	0.0	N	Y	Love it	I think it's really fun.I honestly enjoyed this game on facebook and now I play it on my kindle.It's great for long term play.	2013-11-03
US	49307355	R2IQ07J1AEPRKF	B004SJ3BCI	798420614	Angry Birds Free	Mobile_Apps	5.0	0.0	0.0	N	Y	love it...makes me kill time	I super like this game...drives me crazy just by playing with it ...whooooo.Y'all needs to experience this game, its very fun and entertaining...	2011-11-29
US	16347660	RCW5PBZOAGACG	B00BJA2VFW	409016811	Jewel Legends: Tree of Life (Full)	Mobile_Apps	1.0	0.0	1.0	N	Y	kindle fire hd.....freezes	You have to remove from device and download again. Of course you must start over at the beginning.  Has happened twice....Will remove for good!	2014-12-20
US	50501029	R19ZSKFTU408PA	B00IKZX1ZI	578520888	Frozen Free Fall	Mobile_Apps	5.0	0.0	0.0	N	Y	Frozen is an awesome game	This is a awesome game. It's very addicting..This is a game for all ages. Love this game, kids do to.	2014-04-02
US	51243771	R2RCE8XWC7GUNL	B00QW8TYWO	828652896	Crossy Road	Mobile_Apps	5.0	0.0	0.0	N	Y	awesome	I love this game it is awesome	2015-03-20
US	32247506	R3SX1QD66TKHE0	B009ZZDNT6	498498058	Alarm Clock for Me free	Mobile_Apps	5.0	0.0	0.0	N	Y	Great app	It's easy to use,  and has a reasonable number of built in tones.  I was looking for a quick, easy-to-use alarm clock. I'm happy with this one.	2013-10-15
US	8950615	R36BPOTQ0HD6OZ	B00J2VSS0C	716687953	Letters From Nowhere®: A Hidden Object Mystery	Mobile_Apps	1.0	0.0	0.0	N	Y	One Star	Unable to download.	2015-03-01
UK	5305232	RIYO181NYHS9K	B00881VLCE	76742616	Magic Jigsaw Puzzles	Mobile_Apps	4.0	0.0	0.0	N	Y	Four Stars	Very good, easy to negotiate	2015-01-16
US	19391013	RHXBJ7R375W2W	B004UHSB5A	380367603	Dominoes	Mobile_Apps	1.0	3.0	3.0	N	Y	Unrealistic Trash	Domino vet of 27 years. In just several play throughs computer manages come backs equivalent to getting 2 royal flushes.  Whether this is intended to challenge players of all skill sets or not, don't expect realistic play.	2012-02-23
US	32132312	R14GSQOMQLPEYO	B00G6ZTM3Y	456953883	Terraria	Mobile_Apps	5.0	0.0	1.0	N	Y	MEET MINECRAFT JR.	This game is so amazing just because of everything is has to offer from bosses to even digging to check it is rated just like minecraft and that is what is so cool	2014-01-25
US	29111594	R3HMA6X0FJGAAY	B00EOO55GW	41763789	Hail to the King	Digital_Music_Purchase	5.0	0.0	0.0	N	Y	By far the best...	great album with great flow.  awesome lyrics.  they really nailed this... first album in a long time that i can put on and not skip any songs.	2013-09-17
US	52318302	RAB5RG4SIJUIT	B00F8L2VO4	624587955	Duolingo: Learn Languages Free	Mobile_Apps	5.0	0.0	0.0	N	Y	Best Freebie Around	I think this is an excellent learning tool. It notes your errors and repeats them in the same lesson to ensure that you get it. Also, the segmented sections represent a good progression in learning and covers a variety of topics interspersed with some basic grammar. I would highly recommend for beginners. Good to have a dictionary or translator close by even though it seems like cheating but it's not if you commit to studying the vocab and idioms on your own after and re-testing yourself as you move further along. Worth the price ...FREE.	2014-10-02
US	3695426	R2FEADI93E6RPB	B00DVKOYBM	263046246	8 Ball Pool	Mobile_Apps	5.0	0.0	0.0	N	Y	Really fun	It's the best game ever me and my foster brother play it everyday and we don't get bored I highly recommend it.	2014-09-16
US	29451048	RGDU20Q85TRJZ	B00G4PX1MO	393679770	Kingdom Rush Frontiers	Mobile_Apps	5.0	0.0	0.0	N	N	Must Have Get It NOW!!!	dont waste time reading these reviews... JUST GET IT!!!	2014-07-31
US	13844834	R6L1HXW3FG2G1	B0063IH60K	414486782	Solitaire	Mobile_Apps	5.0	0.0	0.0	N	Y	vnagy	Great game love the hint s	2015-08-30
US	15263276	R19LKGITNCCTL5	B000SJJCX4	546556324	BEHRINGER TU300	Musical Instruments	5.0	0.0	0.0	N	Y	very dependable user friendly tuner	the tuner is very easy to operate, can be used inline with an amp, in bypass mode, or just the guitar and tuner. it also has various tuning options for guitar, chromatic, bass, etc... does the job for me and at a very affordable price.	2008-10-09
US	48084561	ROTSE6P6LLJI7	B00NWLIW0E	13526192	Goat Simulator	Mobile_Apps	4.0	1.0	1.0	N	Y	This is the stupidest, most pointless game ever	This is the stupidest, most pointless game ever, and I love it.  There's no end to the insanity.  Roam around, go everywhere, discover hidden treasures, get trophies, whatever you want.  Hours of fun.	2015-08-18
US	46649842	R3I6OAY41IF69N	B00CWY76CC	605389316	Can You Escape	Mobile_Apps	5.0	0.0	0.0	N	Y	AWSOME!!!!!!!!!!!	this app is awesome,,, I love it gives u a challenge to get through the door and its really fun! I definitely recommend this game to anyone! :)	2014-01-26
US	45294963	R6POUIC5N8EU4	B008Y2FRFO	62690672	Coin Dozer	Mobile_Apps	5.0	0.0	0.0	N	Y	awesome	Totally addictive.. run out of coins just sell your extra prizes that you don't need.. lots of fun everyone should play this awesome game...	2012-12-31
