"Company","count"
"Ascent Holding Co",1
"Credit Mount",1
"Exchange Finance Company",1
"Law Office of Anthony C. Onwuanibe",1
"Off Lease Only Inc.",1
"NORTHPOINT MORTGAGE, INC.",1
"MECHANICS BANK",1
"Credit Advisors Foundation",1
"Pinnacle Lending Group, Inc.",1
"Homie Technology, Inc",1
"Renew Financial Holdings Inc",3
"Revenue Cycle Associates, Inc.",1
"Devgru Financial LLC",1
"JAMS-01, Inc",1
"Law Office of R. Gary Shapley",1
"Capital Link Management, LLC",1
"Federal Student Loan Doc Prep LLC",1
"McCallin Law Offices",1
"Premier Lending, Inc.",1
"Texas Professional Mortgage LLC",1
"Blackstad, Hrabe, Kirlorsky, LLC",1
"LD Settlement Services, LLC",1
"ALLIED NATIONAL INC",1
"TAG Intermediate Holding Company, LLC",1
"Global Financial Mortgage, LLC.",1
"Augusta Financial, Inc.",1
"Belem Servicing LLC",1
"Loan Monkey, Inc.",1
"TitleMax LLC",1
"Superior Home Loans, Inc.",1
"Omnex Group, Inc.",1
"Origen Capital Investments II, LLC",1
"AHL Funding",1
"FlexPath Capital, Inc",1
"Law Offices of Jeffrey Nadel",1
"CB Collections, Inc.",1
"TyKy",1
"Instant Cash Flow, Inc.",1
"Storehouse Mortgage, LLC",1
"Mjollnir Group",1
"Check Cashing & Loans",1
"Normandy Corporation",1
"Chaos Home Loans LLC",2
"Premier Auto Finance of South Florida",1
"Hughes Acceptance Corporation",1
"Lucie R. Bernheim, Attorney at Law",1
"Woodward Capital LLC",1
"Capital For Change, Inc.",1
"ADA Brown LLC dba Star of Texas Financial Solutions",1
"Lee Petersen, Attorney",1
"Unified Lending Inc.",1
"I-NET, INC.",1
"August Real Estate Investments, LLC",1
"LAW OFFICES OF STEPHEN A. BROWN",1
"St John Rossin & Burr, PLLC",1
"Houston Home Loan, Inc.",1
"Alegria Auto Sales",1
"COMPREHENSIVE LEGAL SOLUTIONS, INC.",1
"ALMA Financial Assistance Corp.",1
"Eburch Consulting INC",1
"Prosperity Connection",2
"El Dorado Financial, Inc. DBA Omni Financial",2
"Gaskell & Giovannini, LLC",1
"Mid Valley Financial",2
"LEXUS FINANCIAL SERVICES",1
"ACCESS TO LOANS FOR LEARNING STUDENT LOAN CORP.",1
"Convergence Acquisitions, LLC",1
"Wisconsin Title Group, LLC",1
"Stone Creek Financial, Inc",1
"BELMONT FINANCE LLC",1
"Freisem, Macon Swann & Malone LLP",1
"Integrity Financial Corp. DBA US Loan Servicing",1
"DMEC Capital Services LLC, DBA Settle Our Debt",1
"Clear Recovery, Inc.",33
"Law Offices of Robert S. Gitmeid & Associates, PLLC",1
"PIKE CREEK MORTGAGE SERVICES",1
"Top Used Cars, Inc",1
"The Wilhelm Law Group, LLC",1
"Creditmax Collection Agency, Inc. d/b/a Creditmax, Inc.",4
"Unbank Company, LLP",1
"Westview Financial Services VA, LLC",1
"ClosingMark Financial Services, LLC",9
"H&H Legal Support Services LLC",2
"Vander Financial, LLC",1
"D.S. Erickson & Associates, PLLC",3
"Ocean Lending Home Loans",2
"Gregg & Gregg, P.C.",1
"Rapidly Financial, Inc.",1
"America Transfers, Inc.",3
"Fenix Holdings, LLC",1
"Partnerships & Investments, LLC",1
