"Date_received","Submitted_via","count"
"11/18/2019","Phone",1
"11/18/2019","Web",16
"11/16/2019","Web",24
"07/04/2019","Web",393
"01/01/2012","Web",14
"11/17/2019","Web",22
"03/09/2014","Web",5
"03/18/2012","Web",23
"06/29/2019","Referral",26
"06/29/2019","Fax",8
"06/29/2019","Phone",1
"06/29/2019","Postal mail",71
"06/29/2019","Web",432
"12/18/2011","Web",16
"11/09/2019","Referral",1
"11/09/2019","Web",140
"12/25/2011","Web",10
"08/12/2012","Web",35
"06/16/2012","Referral",1
"06/16/2012","Web",34
"05/28/2012","Web",17
"05/28/2012","Referral",8
"01/14/2012","Postal mail",1
"01/14/2012","Web",41
"12/15/2011","Postal mail",2
"12/15/2011","Email",1
"12/15/2011","Phone",4
"12/15/2011","Referral",15
"12/15/2011","Web",42
"06/26/2019","Fax",4
"06/26/2019","Postal mail",43
"06/26/2019","Referral",57
"06/26/2019","Phone",63
"06/26/2019","Web",814
"05/19/2013","Referral",1
"05/19/2013","Web",40
"04/28/2012","Web",35
"04/22/2017","Phone",1
"04/22/2017","Web",8
"06/19/2019","Fax",14
"06/19/2019","Postal mail",32
"06/19/2019","Web",794
"06/19/2019","Phone",77
"06/19/2019","Referral",76
"04/28/2019","Web",363
"01/28/2012","Phone",1
"01/28/2012","Web",33
"08/09/2019","Fax",6
"08/09/2019","Postal mail",16
"08/09/2019","Referral",96
"08/09/2019","Web",795
"08/09/2019","Phone",85
"07/21/2013","Web",70
"12/26/2011","Referral",5
"12/26/2011","Web",16
"06/27/2019","Referral",61
"06/27/2019","Postal mail",57
"06/27/2019","Phone",72
"06/27/2019","Web",705
"03/16/2013","Referral",9
"03/16/2013","Web",49
"03/24/2012","Web",46
"06/17/2012","Web",43
"06/15/2019","Referral",4
"06/15/2019","Phone",1
"06/15/2019","Fax",2
"06/15/2019","Postal mail",60
"06/15/2019","Web",401
"02/10/2013","Referral",1
"02/10/2013","Web",48
"06/18/2019","Fax",2
"06/18/2019","Phone",77
"06/18/2019","Referral",58
"06/18/2019","Web",942
"08/21/2016","Web",177
"01/13/2013","Web",61
"08/17/2019","Referral",10
"08/17/2019","Web",452
"12/23/2012","Web",31
"06/20/2019","Fax",4
"06/20/2019","Referral",82
"06/20/2019","Web",843
"06/20/2019","Postal mail",13
"06/20/2019","Phone",52
"04/15/2012","Web",25
"08/18/2019","Web",419
"05/05/2019","Web",385
"04/14/2012","Web",47
"12/30/2011","Phone",9
"12/30/2011","Referral",20
