"year","month","date","Email","Fax","Phone","Postal mail","Referral","Web"
2011,12,1,0,0,15,2,63,40
2011,12,2,0,0,11,2,77,48
2011,12,3,0,0,0,0,0,26
2011,12,4,0,0,0,0,3,19
2011,12,5,0,1,10,3,108,42
2011,12,6,0,0,5,1,107,57
2011,12,7,2,1,15,6,41,35
2011,12,8,1,2,11,2,28,122
2011,12,9,0,0,6,2,22,38
2011,12,10,0,0,0,0,0,36
2011,12,11,0,0,0,0,1,58
2011,12,12,0,0,29,4,10,120
2011,12,13,0,0,11,7,15,101
2011,12,14,0,0,19,2,12,59
2011,12,15,1,0,4,2,15,42
2011,12,16,0,0,12,1,24,64
2011,12,17,0,0,1,0,1,26
2011,12,18,0,0,0,0,0,16
2011,12,19,0,3,11,0,26,51
2011,12,20,5,1,10,7,45,52
2011,12,21,0,0,6,0,42,63
2011,12,22,0,1,9,0,25,55
2011,12,23,0,1,3,2,15,39
2011,12,24,0,0,0,0,0,11
2011,12,25,0,0,0,0,0,10
2011,12,26,0,0,0,0,5,16
2011,12,27,0,0,7,1,17,55
2011,12,28,0,0,9,1,32,43
2011,12,29,1,0,5,1,40,37
2011,12,30,0,0,9,0,20,52
2011,12,31,0,0,0,1,1,23
2012,1,1,0,0,0,0,0,14
2012,1,2,0,0,0,0,0,27
2012,1,3,1,0,14,3,26,53
2012,1,4,0,1,8,8,12,77
2012,1,5,0,0,12,2,33,125
2012,1,6,0,3,8,4,17,173
2012,1,7,0,0,0,0,1,73
2012,1,8,0,0,0,0,1,47
2012,1,9,4,0,9,3,23,102
2012,1,10,3,0,10,10,13,106
2012,1,11,2,1,6,4,32,106
2012,1,12,2,0,10,3,13,78
2012,1,13,0,4,8,6,27,91
2012,1,14,0,0,0,1,0,41
2012,1,15,0,0,0,0,0,25
2012,1,16,0,0,0,0,0,54
2012,1,17,1,0,7,6,25,104
2012,1,18,0,1,11,7,34,95
2012,1,19,0,0,7,8,18,74
2012,1,20,2,2,4,1,14,69
2012,1,21,0,0,0,0,5,34
2012,1,22,0,0,0,0,20,26
2012,1,23,0,1,9,5,18,63
2012,1,24,0,0,10,13,51,81
2012,1,25,1,0,10,9,63,111
2012,1,26,0,0,10,4,74,105
2012,1,27,0,0,9,1,32,86
2012,1,28,0,0,1,0,0,33
2012,1,29,0,0,0,0,1,25
2012,1,30,3,0,5,5,44,79
2012,1,31,0,1,8,6,41,97
2012,2,1,1,1,6,2,63,84
2012,2,2,0,0,7,11,57,91
2012,2,3,0,0,8,5,60,73
2012,2,4,0,0,0,1,0,35
2012,2,5,0,0,0,0,0,33
2012,2,6,0,2,15,1,44,58
2012,2,7,0,1,7,7,69,90
2012,2,8,0,1,10,2,51,105
2012,2,9,0,0,14,2,72,90
2012,2,10,2,2,6,2,37,97
